"occurence_count"	"ingredients"
"tiger"	3	"tiger"
"tostada"	3	"tostada"
"udon"	3	"udon"
"uncl"	3	"uncl"
"vayâ"	3	"vayâ"
"velveeta"	3	"velveeta"
"venison"	3	"venison"
"waffl"	3	"waffl"
"warm"	3	"warm"
"wasabi"	3	"wasabi"
"wheel"	3	"wheel"
"whitefish"	3	"whitefish"
"wide"	3	"wide"
"wish"	3	"wish"
"world"	3	"world"
"yolk"	3	"yolk"
"young"	3	"young"
"zesti"	3	"zesti"
"american"	4	"american"
"amino"	4	"amino"
"ancho"	4	"ancho"
"arrowroot"	4	"arrowroot"
"asafetida"	4	"asafetida"
"ball"	4	"ball"
"blanch"	4	"blanch"
"blanco"	4	"blanco"
"bonito"	4	"bonito"
"bottom"	4	"bottom"
"bought"	4	"bought"
"bourbon"	4	"bourbon"
"brew"	4	"brew"
"buffalo"	4	"buffalo"
"bulb"	4	"bulb"
"burgundi"	4	"burgundi"
"butteri"	4	"butteri"
"butterscotch"	4	"butterscotch"
"cactus"	4	"cactus"
"campbel"	4	"campbel"
"caviar"	4	"caviar"
"colbi"	4	"colbi"
"collard"	4	"collard"
"cornflak"	4	"cornflak"
"couscous"	4	"couscous"
"crema"	4	"crema"
"crouton"	4	"crouton"
"cur"	4	"cur"
"custard"	4	"custard"
"dairi"	4	"dairi"
"dashi"	4	"dashi"
"dessert"	4	"dessert"
"drink"	4	"drink"
"drumstick"	4	"drumstick"
"dumpl"	4	"dumpl"
"edamam"	4	"edamam"
"empanada"	4	"empanada"
"filet"	4	"filet"
"finger"	4	"finger"
"flora"	4	"flora"
"floret"	4	"floret"
"flounder"	4	"flounder"
"fudg"	4	"fudg"
"garbanzo"	4	"garbanzo"
"gingersnap"	4	"gingersnap"
"gouda"	4	"gouda"
"guacamol"	4	"guacamol"
"guajillo"	4	"guajillo"
"heavi"	4	"heavi"
"heinz"	4	"heinz"
"hellmann"	4	"hellmann"
"hibiscus"	4	"hibiscus"
"jambalaya"	4	"jambalaya"
"jasmin"	4	"jasmin"
"kosher"	4	"kosher"
"ladi"	4	"ladi"
"lili"	4	"lili"
"lima"	4	"lima"
"limead"	4	"limead"
"linguin"	4	"linguin"
"loav"	4	"loav"
"lotus"	4	"lotus"
"macaroni"	4	"macaroni"
"marinara"	4	"marinara"
"marrow"	4	"marrow"
"masa"	4	"masa"
"mash"	4	"mash"
"matzo"	4	"matzo"
"mole"	4	"mole"
"mung"	4	"mung"
"neck"	4	"neck"
"nutmeg"	4	"nutmeg"
"palm"	4	"palm"
"panko"	4	"panko"
"partskim"	4	"partskim"
"pasilla"	4	"pasilla"
"paso"	4	"paso"
"peppermint"	4	"peppermint"
"phyllo"	4	"phyllo"
"pig"	4	"pig"
"pimento"	4	"pimento"
"pinot"	4	"pinot"
"pomegran"	4	"pomegran"
"port"	4	"port"
"pot"	4	"pot"
"pralin"	4	"pralin"
"prune"	4	"prune"
"raisin"	4	"raisin"
"rump"	4	"rump"
"saffron"	4	"saffron"
"satsuma"	4	"satsuma"
"sauvignon"	4	"sauvignon"
"schnapp"	4	"schnapp"
"scotch"	4	"scotch"
"seltzer"	4	"seltzer"
"shiitak"	4	"shiitak"
"shoot"	4	"shoot"
"shorten"	4	"shorten"
"sidesâ„"	4	"sidesâ„"
"silken"	4	"silken"
"singl"	4	"singl"
"snow"	4	"snow"
"sorghum"	4	"sorghum"
"soybean"	4	"soybean"
"splenda"	4	"splenda"
"stem"	4	"stem"
"store"	4	"store"
"substitut"	4	"substitut"
"sundri"	4	"sundri"
"sushi"	4	"sushi"
"swanson"	4	"swanson"
"tender"	4	"tender"
"teriyaki"	4	"teriyaki"
"thick"	4	"thick"
"toffe"	4	"toffe"
"tortellini"	4	"tortellini"
"turmer"	4	"turmer"
"umeboshi"	4	"umeboshi"
"veggi"	4	"veggi"
"verd"	4	"verd"
"vietnames"	4	"vietnames"
"watermelon"	4	"watermelon"
"wedg"	4	"wedg"
"wing"	4	"wing"
"winter"	4	"winter"
"wonton"	4	"wonton"
"wood"	4	"wood"
"yoghurt"	4	"yoghurt"
"age"	5	"age"
"angel"	5	"angel"
"annatto"	5	"annatto"
"barilla"	5	"barilla"
"batter"	5	"batter"
"best"	5	"best"
"bitter"	5	"bitter"
"blackberri"	5	"blackberri"
"blanc"	5	"blanc"
"blood"	5	"blood"
"blueberri"	5	"blueberri"
"bok"	5	"bok"
"bran"	5	"bran"
"burger"	5	"burger"
"butt"	5	"butt"
"cacao"	5	"cacao"
"case"	5	"case"
"cayenn"	5	"cayenn"
"char"	5	"char"
"chard"	5	"chard"
"chunk"	5	"chunk"
"cold"	5	"cold"
"coleslaw"	5	"coleslaw"
"creme"	5	"creme"
"crusti"	5	"crusti"
"currant"	5	"currant"
"demiglac"	5	"demiglac"
"dog"	5	"dog"
"enchilada"	5	"enchilada"
"four"	5	"four"
"fulli"	5	"fulli"
"gram"	5	"gram"
"grill"	5	"grill"
"gumbo"	5	"gumbo"
"haddock"	5	"haddock"
"head"	5	"head"
"homini"	5	"homini"
"island"	5	"island"
"jumbo"	5	"jumbo"
"kalamata"	5	"kalamata"
"ketchup"	5	"ketchup"
"kielbasa"	5	"kielbasa"
"korean"	5	"korean"
"leek"	5	"leek"
"lemonad"	5	"lemonad"
"lobster"	5	"lobster"
"mandarin"	5	"mandarin"
"mapl"	5	"mapl"
"minicub"	5	"minicub"
"mission"	5	"mission"
"non"	5	"non"
"oatmeal"	5	"oatmeal"
"pasoâ„"	5	"pasoâ„"
"philadelphia"	5	"philadelphia"
"popcorn"	5	"popcorn"
"pound"	5	"pound"
"progresso"	5	"progresso"
"quick"	5	"quick"
"quickcook"	5	"quickcook"
"ramen"	5	"ramen"
"ranchâ"	5	"ranchâ"
"relish"	5	"relish"
"rind"	5	"rind"
"ring"	5	"ring"
"romain"	5	"romain"
"romano"	5	"romano"
"rotel"	5	"rotel"
"rotini"	5	"rotini"
"rye"	5	"rye"
"sazon"	5	"sazon"
"scallop"	5	"scallop"
"skim"	5	"skim"
"slaw"	5	"slaw"
"soba"	5	"soba"
"sunflow"	5	"sunflow"
"tabl"	5	"tabl"
"tandoori"	5	"tandoori"
"tarragon"	5	"tarragon"
"tongu"	5	"tongu"
"turnip"	5	"turnip"
"vegetarian"	5	"vegetarian"
"vermouth"	5	"vermouth"
"vine"	5	"vine"
"wishbon"	5	"wishbon"
"wrap"	5	"wrap"
"ziti"	5	"ziti"
"adobo"	6	"adobo"
"allspic"	6	"allspic"
"back"	6	"back"
"bar"	6	"bar"
"bertolli"	6	"bertolli"
"blue"	6	"blue"
"bonein"	6	"bonein"
"center"	6	"center"
"ciabatta"	6	"ciabatta"
"cider"	6	"cider"
"citrus"	6	"citrus"
"clove"	6	"clove"
"coars"	6	"coars"
"cocktail"	6	"cocktail"
"cocoa"	6	"cocoa"
"color"	6	"color"
"crãme"	6	"crãme"
"crescent"	6	"crescent"
"crystal"	6	"crystal"
"cure"	6	"cure"
"dijon"	6	"dijon"
"dinner"	6	"dinner"
"doubl"	6	"doubl"
"evapor"	6	"evapor"
"fennel"	6	"fennel"
"feta"	6	"feta"
"flat"	6	"flat"
"frost"	6	"frost"
"garden"	6	"garden"
"goya"	6	"goya"
"habanero"	6	"habanero"
"hard"	6	"hard"
"jalapeno"	6	"jalapeno"
"lager"	6	"lager"
"mahi"	6	"mahi"
"marshmallow"	6	"marshmallow"
"mccormick"	6	"mccormick"
"melon"	6	"melon"
"nectar"	6	"nectar"
"new"	6	"new"
"pancak"	6	"pancak"
"pepperoni"	6	"pepperoni"
"poblano"	6	"poblano"
"poppi"	6	"poppi"
"purã"	6	"purã"
"purpos"	6	"purpos"
"quinoa"	6	"quinoa"
"recip"	6	"recip"
"rigatoni"	6	"rigatoni"
"rock"	6	"rock"
"rose"	6	"rose"
"seedless"	6	"seedless"
"semisweet"	6	"semisweet"
"shank"	6	"shank"
"side"	6	"side"
"snail"	6	"snail"
"sprig"	6	"sprig"
"stir"	6	"stir"
"trout"	6	"trout"
"virgin"	6	"virgin"
"wild"	6	"wild"
"worcestershir"	6	"worcestershir"
"zest"	6	"zest"
"zucchini"	6	"zucchini"
"ale"	7	"ale"
"andouill"	7	"andouill"
"asparagus"	7	"asparagus"
"avocado"	7	"avocado"
"baguett"	7	"baguett"
"boil"	7	"boil"
"brandi"	7	"brandi"
"breakfast"	7	"breakfast"
"cauliflow"	7	"cauliflow"
"choy"	7	"choy"
"coriand"	7	"coriand"
"cornbread"	7	"cornbread"
"cornmeal"	7	"cornmeal"
"creami"	7	"creami"
"cutlet"	7	"cutlet"
"drip"	7	"drip"
"essenc"	7	"essenc"
"eye"	7	"eye"
"farm"	7	"farm"
"fettuccin"	7	"fettuccin"
"half"	7	"half"
"hidden"	7	"hidden"
"homemad"	7	"homemad"
"horseradish"	7	"horseradish"
"jelli"	7	"jelli"
"johnsonvill"	7	"johnsonvill"
"king"	7	"king"
"knorrâ"	7	"knorrâ"
"lipton"	7	"lipton"
"malt"	7	"malt"
"monterey"	7	"monterey"
"okra"	7	"okra"
"piec"	7	"piec"
"ravioli"	7	"ravioli"
"sage"	7	"sage"
"salami"	7	"salami"
"serrano"	7	"serrano"
"short"	7	"short"
"sparkl"	7	"sparkl"
"tequila"	7	"tequila"
"thaw"	7	"thaw"
"tip"	7	"tip"
"tradit"	7	"tradit"
"uncook"	7	"uncook"
"valleyâ"	7	"valleyâ"
"wafer"	7	"wafer"
"yam"	7	"yam"
"anchovi"	8	"anchovi"
"anis"	8	"anis"
"apricot"	8	"apricot"
"bag"	8	"bag"
"balsam"	8	"balsam"
"barbecu"	8	"barbecu"
"barley"	8	"barley"
"beet"	8	"beet"
"blossom"	8	"blossom"
"bottl"	8	"bottl"
"buckwheat"	8	"buckwheat"
"caramel"	8	"caramel"
"cardamom"	8	"cardamom"
"creol"	8	"creol"
"cumin"	8	"cumin"
"date"	8	"date"
"dill"	8	"dill"
"ear"	8	"ear"
"fig"	8	"fig"
"gold"	8	"gold"
"grit"	8	"grit"
"hen"	8	"hen"
"irish"	8	"irish"
"kale"	8	"kale"
"lasagna"	8	"lasagna"
"molass"	8	"molass"
"pesto"	8	"pesto"
"puff"	8	"puff"
"refri"	8	"refri"
"regular"	8	"regular"
"rosemari"	8	"rosemari"
"sheet"	8	"sheet"
"snapper"	8	"snapper"
"sourdough"	8	"sourdough"
"split"	8	"split"
"swiss"	8	"swiss"
"tamari"	8	"tamari"
"tart"	8	"tart"
"vodka"	8	"vodka"
"alfredo"	9	"alfredo"
"artichok"	9	"artichok"
"base"	9	"base"
"bass"	9	"bass"
"bay"	9	"bay"
"berri"	9	"berri"
"biscuit"	9	"biscuit"
"breadcrumb"	9	"breadcrumb"
"cajun"	9	"cajun"
"canola"	9	"canola"
"chuck"	9	"chuck"
"cranberri"	9	"cranberri"
"dip"	9	"dip"
"espresso"	9	"espresso"
"gelatin"	9	"gelatin"
"glaze"	9	"glaze"
"grapefruit"	9	"grapefruit"
"jam"	9	"jam"
"jamaican"	9	"jamaican"
"lavend"	9	"lavend"
"margarin"	9	"margarin"
"masala"	9	"masala"
"meatbal"	9	"meatbal"
"muffin"	9	"muffin"
"nori"	9	"nori"
"pink"	9	"pink"
"pit"	9	"pit"
"spring"	9	"spring"
"sprout"	9	"sprout"
"stuf"	9	"stuf"
"tamarind"	9	"tamarind"
"tapioca"	9	"tapioca"
"vermicelli"	9	"vermicelli"
"walnut"	9	"walnut"
"whiskey"	9	"whiskey"
"blend"	10	"blend"
"cane"	10	"cane"
"cereal"	10	"cereal"
"chee"	10	"chee"
"cilantro"	10	"cilantro"
"cottag"	10	"cottag"
"deli"	10	"deli"
"eggplant"	10	"eggplant"
"firm"	10	"firm"
"hazelnut"	10	"hazelnut"
"liver"	10	"liver"
"mango"	10	"mango"
"marinad"	10	"marinad"
"mint"	10	"mint"
"oyster"	10	"oyster"
"pearl"	10	"pearl"
"peppercorn"	10	"peppercorn"
"plum"	10	"plum"
"pod"	10	"pod"
"prawn"	10	"prawn"
"rum"	10	"rum"
"soda"	10	"soda"
"spanish"	10	"spanish"
"spici"	10	"spici"
"starch"	10	"starch"
"strip"	10	"strip"
"thin"	10	"thin"
"truffl"	10	"truffl"
"chestnut"	11	"chestnut"
"cod"	11	"cod"
"dal"	11	"dal"
"goat"	11	"goat"
"golden"	11	"golden"
"graham"	11	"graham"
"kernel"	11	"kernel"
"loaf"	11	"loaf"
"long"	11	"long"
"mini"	11	"mini"
"oregano"	11	"oregano"
"pack"	11	"pack"
"penn"	11	"penn"
"pistachio"	11	"pistachio"
"preserv"	11	"preserv"
"pud"	11	"pud"
"ragu"	11	"ragu"
"ranch"	11	"ranch"
"ricotta"	11	"ricotta"
"rub"	11	"rub"
"seafood"	11	"seafood"
"wrapper"	11	"wrapper"
"beer"	12	"beer"
"broccoli"	12	"broccoli"
"cashew"	12	"cashew"
"chorizo"	12	"chorizo"
"clam"	12	"clam"
"countri"	12	"countri"
"curd"	12	"curd"
"english"	12	"english"
"fatfre"	12	"fatfre"
"flower"	12	"flower"
"heart"	12	"heart"
"jerk"	12	"jerk"
"kidney"	12	"kidney"
"link"	12	"link"
"prepar"	12	"prepar"
"queso"	12	"queso"
"radish"	12	"radish"
"raw"	12	"raw"
"sharp"	12	"sharp"
"sherri"	12	"sherri"
"soft"	12	"soft"
"thigh"	12	"thigh"
"thyme"	12	"thyme"
"vegan"	12	"vegan"
"buttermilk"	13	"buttermilk"
"carrot"	13	"carrot"
"chive"	13	"chive"
"japanes"	13	"japanes"
"lentil"	13	"lentil"
"liquid"	13	"liquid"
"meal"	13	"meal"
"natur"	13	"natur"
"paprika"	13	"paprika"
"parmesan"	13	"parmesan"
"refriger"	13	"refriger"
"spaghetti"	13	"spaghetti"
"tenderloin"	13	"tenderloin"
"thai"	13	"thai"
"chunki"	14	"chunki"
"grape"	14	"grape"
"lean"	14	"lean"
"medium"	14	"medium"
"origin"	14	"origin"
"pear"	14	"pear"
"pumpkin"	14	"pumpkin"
"sandwich"	14	"sandwich"
"sea"	14	"sea"
"skin"	14	"skin"
"strawberri"	14	"strawberri"
"vinaigrett"	14	"vinaigrett"
"bell"	15	"bell"
"cabbag"	15	"cabbag"
"cinnamon"	15	"cinnamon"
"coffe"	15	"coffe"
"concentr"	15	"concentr"
"cucumb"	15	"cucumb"
"fill"	15	"fill"
"fine"	15	"fine"
"larg"	15	"larg"
"leg"	15	"leg"
"nut"	15	"nut"
"pecan"	15	"pecan"
"pita"	15	"pita"
"root"	15	"root"
"salad"	15	"salad"
"sirloin"	15	"sirloin"
"stick"	15	"stick"
"unsweeten"	15	"unsweeten"
"asian"	16	"asian"
"banana"	16	"banana"
"chipotl"	16	"chipotl"
"crumbl"	16	"crumbl"
"food"	16	"food"
"gluten"	16	"gluten"
"glutenfre"	16	"glutenfre"
"granul"	16	"granul"
"gravi"	16	"gravi"
"mild"	16	"mild"
"minc"	16	"minc"
"miso"	16	"miso"
"oat"	16	"oat"
"pastri"	16	"pastri"
"pineappl"	16	"pineappl"
"small"	16	"small"
"spray"	16	"spray"
"spread"	16	"spread"
"cooki"	17	"cooki"
"crab"	17	"crab"
"french"	17	"french"
"fri"	17	"fri"
"loin"	17	"loin"
"old"	17	"old"
"salmon"	17	"salmon"
"shoulder"	17	"shoulder"
"yeast"	17	"yeast"
"celeri"	18	"celeri"
"cut"	18	"cut"
"extra"	18	"extra"
"leaf"	18	"leaf"
"less"	18	"less"
"mayonnais"	18	"mayonnais"
"organ"	18	"organ"
"parsley"	18	"parsley"
"raspberri"	18	"raspberri"
"round"	18	"round"
"stew"	18	"stew"
"tofu"	18	"tofu"
"unsalt"	18	"unsalt"
"whip"	18	"whip"
"fish"	19	"fish"
"grain"	19	"grain"
"halv"	19	"halv"
"instant"	19	"instant"
"lettuc"	19	"lettuc"
"mexican"	19	"mexican"
"peach"	19	"peach"
"plain"	19	"plain"
"spice"	19	"spice"
"spinach"	19	"spinach"
"squash"	19	"squash"
"bun"	20	"bun"
"cracker"	20	"cracker"
"crush"	20	"crush"
"drain"	20	"drain"
"honey"	20	"honey"
"lime"	20	"lime"
"dark"	21	"dark"
"fruit"	21	"fruit"
"grate"	21	"grate"
"jack"	21	"jack"
"kraft"	21	"kraft"
"sesam"	21	"sesam"
"sweeten"	21	"sweeten"
"taco"	21	"taco"
"basil"	22	"basil"
"candi"	22	"candi"
"greek"	22	"greek"
"herb"	22	"herb"
"knorr"	22	"knorr"
"pizza"	22	"pizza"
"pure"	22	"pure"
"can"	23	"can"
"duck"	23	"duck"
"ginger"	23	"ginger"
"skinless"	23	"skinless"
"sour"	23	"sour"
"tuna"	23	"tuna"
"veal"	23	"veal"
"cherri"	25	"cherri"
"dough"	25	"dough"
"mozzarella"	25	"mozzarella"
"peel"	25	"peel"
"pickl"	25	"pickl"
"salsa"	25	"salsa"
"top"	25	"top"
"bone"	26	"bone"
"nonfat"	26	"nonfat"
"babi"	27	"babi"
"condens"	27	"condens"
"crumb"	27	"crumb"
"curri"	27	"curri"
"peanut"	27	"peanut"
"bouillon"	28	"bouillon"
"cube"	28	"cube"
"pie"	28	"pie"
"bake"	29	"bake"
"cake"	29	"cake"
"pea"	29	"pea"
"shrimp"	29	"shrimp"
"crust"	30	"crust"
"dice"	30	"dice"
"extract"	30	"extract"
"liqueur"	30	"liqueur"
"style"	30	"style"
"toast"	30	"toast"
"yellow"	30	"yellow"
"flavor"	31	"flavor"
"rib"	31	"rib"
"almond"	32	"almond"
"tortilla"	32	"tortilla"
"bacon"	33	"bacon"
"lemon"	34	"lemon"
"water"	34	"water"
"flake"	35	"flake"
"ice"	35	"ice"
"mustard"	36	"mustard"
"shell"	36	"shell"
"tea"	36	"tea"
"chip"	37	"chip"
"appl"	38	"appl"
"lamb"	38	"lamb"
"soy"	38	"soy"
"wine"	38	"wine"
"cheddar"	39	"cheddar"
"light"	40	"light"
"egg"	41	"egg"
"ham"	41	"ham"
"brown"	43	"brown"
"syrup"	43	"syrup"
"chines"	44	"chines"
"orang"	45	"orang"
"roll"	45	"roll"
"free"	46	"free"
"vinegar"	46	"vinegar"
"boneless"	47	"boneless"
"coconut"	47	"coconut"
"onion"	47	"onion"
"vanilla"	47	"vanilla"
"yogurt"	48	"yogurt"
"breast"	49	"breast"
"potato"	49	"potato"
"smoke"	49	"smoke"
"meat"	50	"meat"
"noodl"	52	"noodl"
"slice"	52	"slice"
"veget"	52	"veget"
"dress"	53	"dress"
"hot"	53	"hot"
"stock"	53	"stock"
"oliv"	54	"oliv"
"seed"	54	"seed"
"turkey"	54	"turkey"
"butter"	55	"butter"
"garlic"	55	"garlic"
"shred"	55	"shred"
"mushroom"	57	"mushroom"
"sweet"	58	"sweet"
"chili"	59	"chili"
"corn"	59	"corn"
"soup"	61	"soup"
"chile"	63	"chile"
"chop"	64	"chop"
"sugar"	64	"sugar"
"broth"	66	"broth"
"pasta"	67	"pasta"
"salt"	67	"salt"
"cook"	69	"cook"
"steak"	70	"steak"
"fillet"	71	"fillet"
"milk"	71	"milk"
"black"	72	"black"
"italian"	72	"italian"
"reduc"	72	"reduc"
"past"	74	"past"
"wheat"	74	"wheat"
"low"	75	"low"
"roast"	75	"roast"
"sausag"	75	"sausag"
"leav"	76	"leav"
"chocol"	77	"chocol"
"lowfat"	77	"lowfat"
"flour"	80	"flour"
"juic"	80	"juic"
"bread"	82	"bread"
"frozen"	83	"frozen"
"ground"	84	"ground"
"oil"	84	"oil"
"red"	86	"red"
"green"	89	"green"
"pork"	90	"pork"
"whole"	92	"whole"
"beef"	94	"beef"
"powder"	95	"powder"
"white"	95	"white"
"fat"	97	"fat"
"pepper"	101	"pepper"
"fresh"	102	"fresh"
"tomato"	103	"tomato"
"sodium"	108	"sodium"
"rice"	109	"rice"
"season"	114	"season"
"cream"	119	"cream"
"bean"	129	"bean"
"dri"	132	"dri"
"mix"	138	"mix"
"chicken"	194	"chicken"
"chees"	202	"chees"
"sauc"	210	"sauc"
